RecordID_Int,ParcelNumber,SaleDate,SaleAmount,BookPage
1,010001000,2016-02-10T00:00:00.000Z,0,2016:418
2,010001000,2000-10-23T00:00:00.000Z,0,793:231
3,010001100,2008-09-23T00:00:00.000Z,113437,2008:4759
4,010001100,2008-09-23T00:00:00.000Z,113437,2008:4757
5,010001100,2008-09-23T00:00:00.000Z,0,2008:4750
6,010001100,1995-01-13T00:00:00.000Z,700000,0:0
7,010001100,2008-09-23T00:00:00.000Z,113437,2008:4758
8,010001100,2008-09-23T00:00:00.000Z,484687,2008:4756
9,010001100,2008-09-23T00:00:00.000Z,0,2008:4755
10,010001100,2008-09-23T00:00:00.000Z,0,2008:4754
11,010001100,2008-09-23T00:00:00.000Z,0,2008:4753
12,010001100,2008-09-23T00:00:00.000Z,0,2008:4752
13,010001100,2008-09-23T00:00:00.000Z,0,2008:4751
14,010001100,1995-01-13T00:00:00.000Z,18381,645:681
15,010001200,1988-12-30T00:00:00.000Z,0,0:0
16,010001200,1989-03-15T00:00:00.000Z,0,525:627
17,010001300,1989-03-15T00:00:00.000Z,0,525:627
18,010001300,1988-12-30T00:00:00.000Z,0,0:0
19,010001400,1997-04-29T00:00:00.000Z,8389526,692:693
20,010001400,1996-03-18T00:00:00.000Z,827000,0:0
21,010001500,1988-12-30T00:00:00.000Z,0,0:0
22,010001500,1989-03-15T00:00:00.000Z,0,525:627
23,010001600,1900-01-01T00:00:00.000Z,0,0:0
24,010001700,1988-08-31T00:00:00.000Z,1300000,517:527
25,010001700,1983-12-30T00:00:00.000Z,0,0:0
26,010001900,2000-04-27T00:00:00.000Z,0,779:632
27,010001900,1997-06-27T00:00:00.000Z,260000,697:134
28,010001900,2012-05-10T00:00:00.000Z,2220308,2012:1970
29,010001900,2000-04-27T00:00:00.000Z,2990000,779:625
30,010001900,1986-12-01T00:00:00.000Z,1750000,0:0
31,010004000,1996-12-27T00:00:00.000Z,0,685:683
32,010004000,1996-09-17T00:00:00.000Z,0,0:0
33,010004100,2010-09-27T00:00:00.000Z,0,2010:3587
34,010004100,1998-01-05T00:00:00.000Z,400000,710:19
35,010004100,1985-09-16T00:00:00.000Z,200000,469:9
36,010004100,1981-03-13T00:00:00.000Z,130000,0:0
37,010004100,2016-09-23T00:00:00.000Z,0,2016:3705
38,010004100,2017-04-19T00:00:00.000Z,0,2017:1431
39,010004300,1987-06-22T00:00:00.000Z,220000,497:612
40,010004300,2001-04-19T00:00:00.000Z,375000,806:475
41,010004300,1971-06-16T00:00:00.000Z,32000,0:0
42,010004400,2002-04-15T00:00:00.000Z,350000,848:464
43,010004400,1969-01-09T00:00:00.000Z,85600,0:0
44,010004400,1988-06-29T00:00:00.000Z,0,514:265
45,010004500,1988-07-07T00:00:00.000Z,200000,514:656
46,010004500,2009-12-16T00:00:00.000Z,0,2009:5460
47,010004500,1988-06-29T00:00:00.000Z,0,0:0
48,010005000,1993-02-18T00:00:00.000Z,0,651:842
49,010006000,2003-02-20T00:00:00.000Z,0,892:324
50,010006000,2003-01-31T00:00:00.000Z,545000,889:518
51,010006000,1995-05-25T00:00:00.000Z,0,651:842
52,010007000,1982-07-27T00:00:00.000Z,160000,430:456
53,010008000,2015-01-28T00:00:00.000Z,0,W2015:44
54,010008000,1984-08-31T00:00:00.000Z,175000,455:14
55,010009000,1984-08-31T00:00:00.000Z,175000,455:14
56,010009000,2015-01-28T00:00:00.000Z,0,W2015:44
57,010010000,1995-02-28T00:00:00.000Z,0,647:785
58,010011000,1984-05-16T00:00:00.000Z,205000,450:37
59,010012000,2003-07-09T00:00:00.000Z,0,WB47:105
60,010012000,2015-05-04T00:00:00.000Z,0,2015:241
61,010012000,1973-12-17T00:00:00.000Z,50000,353:178
62,010012000,2015-05-04T00:00:00.000Z,512000,2015:1391
63,010014000,2007-02-05T00:00:00.000Z,0,WB49:629
64,010014000,1984-07-12T00:00:00.000Z,0,102:187
65,010014000,2017-03-16T00:00:00.000Z,0,2017:1011
66,010014000,2007-06-26T00:00:00.000Z,975000,1147:846
67,010015000,2002-07-03T00:00:00.000Z,480000,859:644
